state,population_2011,source_note
Andaman And Nicobar Islands,380581,Census 2011
Andhra Pradesh,49577103,Census 2011 post-bifurcation approximation
Arunachal Pradesh,1383727,Census 2011
Assam,31205576,Census 2011
Bihar,104099452,Census 2011
Chandigarh,1055450,Census 2011
Chhattisgarh,25545198,Census 2011
D & N Haveli,343709,Census 2011
Daman & Diu,243247,Census 2011
Delhi,16787941,Census 2011
Goa,1458545,Census 2011
Gujarat,60439692,Census 2011
Haryana,25351462,Census 2011
Himachal Pradesh,6864602,Census 2011
Jammu And Kashmir,12267032,Census 2011 post-bifurcation approximation
Jharkhand,32988134,Census 2011
Karnataka,61095297,Census 2011
Kerala,33406061,Census 2011
Ladakh,274289,Census 2011 post-bifurcation approximation
Lakshadweep,64473,Census 2011
Madhya Pradesh,72626809,Census 2011
Maharashtra,112374333,Census 2011
Manipur,2855794,Census 2011
Meghalaya,2966889,Census 2011
Mizoram,1097206,Census 2011
Nagaland,1978502,Census 2011
Odisha,41974218,Census 2011
Puducherry,1247953,Census 2011
Punjab,27743338,Census 2011
Rajasthan,68548437,Census 2011
Sikkim,610577,Census 2011
Tamil Nadu,72147030,Census 2011
Telangana,35003674,Census 2011 post-bifurcation approximation
The Dadra And Nagar Haveli And Daman And Diu,586956,Census 2011 combined UT approximation
Tripura,3673917,Census 2011
Uttar Pradesh,199812341,Census 2011
Uttarakhand,10086292,Census 2011
West Bengal,91276115,Census 2011
